timestamp,steps
2023-11-01 23:59:59.000000,8183
2023-11-02 23:59:59.000000,16917
2023-11-03 23:59:59.000000,1246
2023-11-04 23:59:59.000000,10797
2023-11-05 23:59:59.000000,9350
2023-11-06 23:59:59.000000,13508
2023-11-07 23:59:59.000000,10036
2023-11-08 23:59:59.000000,6738
2023-11-09 23:59:59.000000,8431
2023-11-10 23:59:59.000000,6295
2023-11-11 23:59:59.000000,22231
2023-11-12 23:59:59.000000,2225
2023-11-13 23:59:59.000000,6358
2023-11-14 23:59:59.000000,7727
2023-11-15 23:59:59.000000,8292
2023-11-16 23:59:59.000000,3139
2023-11-17 23:59:59.000000,5572
2023-11-18 23:59:59.000000,9516
2023-11-19 23:59:59.000000,2347
2023-11-20 23:59:59.000000,6241
2023-11-21 23:59:59.000000,5726
2023-11-22 23:59:59.000000,8684
2023-11-23 23:11:00.000000,6465
2023-11-24 23:59:59.000000,6569
2023-11-25 23:59:59.000000,8077
2023-11-26 23:59:59.000000,10211
2023-11-27 23:59:59.000000,11388
2023-11-28 23:59:59.000000,6126
2023-11-29 23:59:59.000000,1653
2023-11-30 23:59:59.000000,7890
